Terminal - Communication
2022/7/11 16:16:14

Time;Data;Telegram;Info
16:11:08.682;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:08.698;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:08.713;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:08.729;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:09.499;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:09.515;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:09.515;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:09.531;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:10.164;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:10.186;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:10.201;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:10.217;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:10.772;"1 SOBJ 6060.00 03 (3)";"Transmit: 53 08 01 02 60 60 00 03 A2 45";"Modes of operation"
16:11:10.787;"1 SOBJ 6060.00 03 (3) = OK";"Receive: 53 07 01 02 60 60 00 FB 45";
16:11:11.567;"1 GOBJ 6041.00";"Transmit: 53 07 01 01 41 60 00 73 45";Statusword
16:11:11.589;"1 GOBJ 6041.00 = 4160 (0x1040)";"Receive: 53 09 01 01 41 60 00 40 10 87 45";
16:11:11.621;"1 GOBJ 6060.00";"Transmit: 53 07 01 01 60 60 00 52 45";"Modes of operation"
16:11:11.636;"1 GOBJ 6060.00 = 3 (0x03)";"Receive: 53 08 01 01 60 60 00 03 F4 45";
16:11:11.652;"1 GOBJ 6061.00";"Transmit: 53 07 01 01 61 60 00 53 45";"Modes of operation display"
16:11:11.668;"1 GOBJ 6061.00 = 3 (0x03)";"Receive: 53 08 01 01 61 60 00 03 0A 45";
16:11:11.690;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:11.705;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:11.721;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:11.737;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:12.307;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:12.323;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:12.338;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:12.354;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:13.057;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:13.073;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:13.095;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:13.110;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:13.812;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:13.828;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:13.844;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:13.860;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:14.561;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:14.577;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:14.599;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:14.614;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:15.316;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:15.332;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:15.347;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:15.363;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:16.065;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:16.081;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:16.103;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:16.119;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:16.805;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:16.820;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:16.836;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:16.852;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:17.553;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:17.569;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:17.585;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:17.607;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:18.308;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:18.324;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:18.340;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:18.355;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:19.057;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:19.073;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:19.088;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:19.110;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:19.812;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:19.828;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:19.844;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:19.859;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:20.561;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:20.577;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:20.592;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:20.614;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:21.316;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:21.332;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:21.347;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:21.363;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:22.065;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:22.081;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:22.096;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:22.118;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:22.820;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:22.836;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:22.851;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:22.867;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:23.553;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:23.569;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:23.585;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:23.600;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:24.324;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:24.340;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:24.355;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:24.371;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:25.057;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:25.073;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:25.088;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:25.104;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:25.806;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:25.828;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:25.844;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:25.859;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:26.561;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:26.577;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:26.592;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:26.608;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:27.310;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:27.332;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:27.348;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:27.363;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:28.065;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:28.081;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:28.096;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:28.112;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:11:28.814;"1 GOBJ 6064.00";"Transmit: 53 07 01 01 64 60 00 56 45";"Position actual value"
16:11:28.836;"1 GOBJ 6064.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 64 60 00 00 00 00 00 5A 45";
16:11:28.867;"1 GOBJ 606C.00";"Transmit: 53 07 01 01 6C 60 00 5E 45";"Velocity actual value"
16:11:28.883;"1 GOBJ 606C.00 = 0 (0x00000000)";"Receive: 53 0B 01 01 6C 60 00 00 00 00 00 AD 45";
16:14:19.995;"1 GOBJ 1018.04";"Transmit: 53 07 01 01 18 10 04 F4 45";"Serial number (Identity object)"
